stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate,Latitude,Longitude,x,y,Elevation,Slope,Aspect,Curvature,Northness,Eastness
ABY:CA:SNOW,ABY,CA,SNOW,Abbey,UN,Plumas,180201220103.0,5650.0,39.955,-120.538,,,,1963-02-01 00:00:00.0,2100-01-01,39.964,-120.536,124.0,251.0,1830.6924,3.401085,16.38446,597.03973,0.76467556,-0.27493766
0010:ID:COOP,0010,ID,COOP,Aberdeen Experimnt Stn,ID,Bingham,170402060704.0,4410.0,42.95,-112.83333,,,ABDI1,1914-01-01 00:00:00.0,2100-01-01,42.952,-112.832,338.0,168.0,1339.1099,11.173698,124.927216,351.85028,-0.5199802,-0.6867458
0041:NM:COOP,0041,NM,COOP,Abiquiu Dam,UN,Rio Arriba,130201021005.0,6380.0,36.23333,-106.43333,,,ABIN5,1957-01-01 00:00:00.0,2100-01-01,36.22,-106.424,516.0,355.0,2178.5886,0.22956085,17.486906,3304.3796,0.76174885,-0.2919043
08108010:NM:BOR,08108010,NM,BOR,Abiquiu Reservoir,CO,Rio Arriba,130201021006.0,6180.0,36.237,-106.42912,,,,1964-09-01 00:00:00.0,2100-01-01,36.22,-106.424,516.0,355.0,2178.5886,0.22956085,17.486906,3304.3796,0.76174885,-0.2919043
13E19:ID:SNOW,13E19,ID,SNOW,Above Gilmore,ID,Lemhi,170602040101.0,8289.0,44.45615,-113.30097,,,ABGI1,1961-01-01 00:00:00.0,2100-01-01,44.464,-113.3,325.0,126.0,2639.2073,0.141716,50.285496,-4223.0884,0.5685769,-0.6557
15B07:ID:SNOW,15B07,ID,SNOW,Above Roland,ID,Shoshone,170103040201.0,4347.0,47.38507,-115.66405,,,ABRI1,1926-03-01 00:00:00.0,2100-01-01,47.38,-115.676,259.0,45.0,1400.5966,0.31980896,257.23453,-1264.686,-0.2174668,0.7728855
06110500:MT:BOR,06110500,MT,BOR,Ackley Lake,MT,Judith Basin,100401030202.0,4300.0,46.95741,-109.94062,,,,1938-06-01 00:00:00.0,2100-01-01,46.948,-109.952,418.0,57.0,1343.795,1.0642471,28.4065,-1.7488586,0.72142637,-0.4440389
2015:NM:SCAN,2015,NM,SCAN,Adams Ranch #1,GC,Lincoln,130600060201.0,6175.0,34.25,-105.41667,-7.0,19304.0,ADRN5,1993-10-25 00:00:00.0,2100-01-01,34.24,-105.416,544.0,410.0,1857.793,1.0381012,87.82978,99.83263,0.037850287,-0.7850394
20H08:CA:SNOW,20H08,CA,SNOW,Adin Mountains,OR,Modoc,180200021403.0,6190.0,41.23483,-120.79467,,,ADMC1,1930-04-01 00:00:00.0,2100-01-01,41.224,-120.788,117.0,216.0,2001.8408,0.79338074,144.24068,-6279.539,-0.68170124,-0.5288563
301:CA:SNTL,301,CA,SNTL,Adin Mtn,OR,Modoc,180200021403.0,6190.0,41.23583,-120.79192,-8.0,,ADMC1,1983-10-01 00:00:00.0,2100-01-01,41.224,-120.788,117.0,216.0,2001.8408,0.79338074,144.24068,-6279.539,-0.68170124,-0.5288563
