stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
ABY:CA:SNOW,ABY,CA,SNOW,Abbey,UN,Plumas,180201220103.0,5650.0,39.955,-120.538,,,,1963-02-01 00:00:00.0,2100-01-01
0010:ID:COOP,0010,ID,COOP,Aberdeen Experimnt Stn,ID,Bingham,170402060704.0,4410.0,42.95,-112.83333,,,ABDI1,1914-01-01 00:00:00.0,2100-01-01
0041:NM:COOP,0041,NM,COOP,Abiquiu Dam,UN,Rio Arriba,130201021005.0,6380.0,36.23333,-106.43333,,,ABIN5,1957-01-01 00:00:00.0,2100-01-01
08108010:NM:BOR,08108010,NM,BOR,Abiquiu Reservoir,CO,Rio Arriba,130201021006.0,6180.0,36.237,-106.42912,,,,1964-09-01 00:00:00.0,2100-01-01
13E19:ID:SNOW,13E19,ID,SNOW,Above Gilmore,ID,Lemhi,170602040101.0,8289.0,44.45615,-113.30097,,,ABGI1,1961-01-01 00:00:00.0,2100-01-01
15B07:ID:SNOW,15B07,ID,SNOW,Above Roland,ID,Shoshone,170103040201.0,4347.0,47.38507,-115.66405,,,ABRI1,1926-03-01 00:00:00.0,2100-01-01
06110500:MT:BOR,06110500,MT,BOR,Ackley Lake,MT,Judith Basin,100401030202.0,4300.0,46.95741,-109.94062,,,,1938-06-01 00:00:00.0,2100-01-01
2015:NM:SCAN,2015,NM,SCAN,Adams Ranch #1,GC,Lincoln,130600060201.0,6175.0,34.25,-105.41667,-7.0,19304,ADRN5,1993-10-25 00:00:00.0,2100-01-01
20H08:CA:SNOW,20H08,CA,SNOW,Adin Mountains,OR,Modoc,180200021403.0,6190.0,41.23483,-120.79467,,,ADMC1,1930-04-01 00:00:00.0,2100-01-01
301:CA:SNTL,301,CA,SNTL,Adin Mtn,OR,Modoc,180200021403.0,6190.0,41.23583,-120.79192,-8.0,,ADMC1,1983-10-01 00:00:00.0,2100-01-01
2235:CA:SCAN,2235,CA,SCAN,Adobe,GC,Mono,180901010607.0,6500.0,37.97787,-118.68626,-8.0,,,2023-09-27 00:00:00.0,2100-01-01
07007010:CO:BOR,07007010,CO,BOR,Adobe Creek Reservoir,CO,Kiowa,110200090303.0,4150.0,38.26609,-103.24373,,,,1949-11-01 00:00:00.0,2100-01-01
0027:WY:COOP,0027,WY,COOP,Afton,MT,Lincoln,170401050205.0,6210.0,42.73333,-110.93333,,,AFOW4,1909-10-01 00:00:00.0,2100-01-01
516700:MT:USGS,516700,MT,USGS,Agency Crk ab Jocko S Canal nr Arlee,MT,Missoula,170102120705.0,3725.0,47.12579,-113.9974,,,,1999-10-01 00:00:00.0,2100-01-01
AGP:CA:MSNT,AGP,CA,MSNT,Agnew Pass,GC,Madera,180400060401.0,9450.0,37.724,-119.143,,,,1989-11-24 00:00:00.0,2100-01-01
AGP:CA:SNOW,AGP,CA,SNOW,Agnew Pass,UN,Madera,180400060401.0,9450.0,37.724,-119.143,,,,1930-04-01 00:00:00.0,2100-01-01
907:UT:SNTL,907,UT,SNTL,Agua Canyon,UT,Kane,160300020301.0,8900.0,37.52217,-112.27118,-8.0,,AGUU1,1994-10-01 00:00:00.0,2100-01-01
12502500:WA:USGS,12502500,WA,USGS,Ahtanum Ck at Union Gap,OR,Yakima,170300030105.0,940.0,46.53596,-120.4734,,,,1903-10-31 00:00:00.0,2100-01-01
2237:CA:SCAN,2237,CA,SCAN,Alabama Hills,GC,Inyo,180901030207.0,5230.0,36.56295,-118.13562,-8.0,,,2023-09-28 00:00:00.0,2100-01-01
08236000:CO:USGS,08236000,CO,USGS,Alamosa Ck ab Terrace Reservoir,CO,Conejos,130100020304.0,8600.0,37.37473,-106.33476,,,,1914-05-01 00:00:00.0,2100-01-01
0130:CO:COOP,0130,CO,COOP,Alamosa WSO AP,UN,Alamosa,130100020710.0,7540.0,37.45,-105.86666,,,ALSC2,1948-01-01 00:00:00.0,2100-01-01
06H11:WY:SNOW,06H11,WY,SNOW,Albany,CO,Albany,101800100501.0,9120.0,41.18333,-106.16667,,,ALSW4,1949-02-01 00:00:00.0,2100-01-01
0088:MT:COOP,0088,MT,COOP,Albion 1 N,MT,Carter,101102010507.0,3310.0,45.2,-104.28333,,,ALBM8,1945-07-01 00:00:00.0,2100-01-01
916:MT:SNTL,916,MT,SNTL,Albro Lake,MT,Madison,100200050701.0,8300.0,45.59723,-111.95902,-8.0,,ABRM8,1996-09-01 00:00:00.0,2100-01-01
0234:NM:COOP,0234,NM,COOP,Albuquerque WSFO Airpor,UN,Bernalillo,130202030304.0,5310.0,35.05,-106.61666,,,ABQN5,1897-01-01 00:00:00.0,2100-01-01
0245:NM:COOP,0245,NM,COOP,Alcalde,UN,Rio Arriba,130201011107.0,5680.0,36.1,-106.06666,,,ALCN5,1953-01-01 00:00:00.0,2100-01-01
2172:NM:SCAN,2172,NM,SCAN,Alcalde,GC,Rio Arriba,130201011107.0,5693.0,36.0908,-106.05668,-7.0,53313,ALDN5,2010-03-10 00:00:00.0,2100-01-01
06641500:WY:BOR,06641500,WY,BOR,Alcova,CO,Natrona,101800070201.0,5447.0,42.54837,-106.7209,,,,1938-02-01 00:00:00.0,2100-01-01
2138:UT:SCAN,2138,UT,SCAN,Alkali Mesa,GC,San Juan,140802030601.0,6445.0,37.67455,-109.36429,-7.0,34635,ALKU1,2007-09-17 00:00:00.0,2100-01-01
11G35:ID:SNOW,11G35,ID,SNOW,Allen Ranch,ID,Caribou,170402070208.0,6496.0,42.78735,-111.43125,,,ALLI1,1961-02-01 00:00:00.0,2100-01-01
ALP:CA:MSNT,ALP,CA,MSNT,Alpha,GC,El Dorado,180201290204.0,7600.0,38.805,-120.215,,,,1965-10-01 00:00:00.0,2100-01-01
APH:CA:SNOW,APH,CA,SNOW,Alpha,UN,El Dorado,180201290302.0,7600.0,38.804,-120.216,,,,1965-04-01 00:00:00.0,2100-01-01
0159:AZ:COOP,0159,AZ,COOP,Alpine,UN,Apache,150400040301.0,8050.0,33.85,-109.13333,,,ALPA3,1904-10-01 00:00:00.0,2100-01-01
21B48:WA:SNOW,21B48,WA,SNOW,Alpine Meadow,OR,Snohomish,171100100501.0,3500.0,47.77997,-121.6989,,,APSW1,1969-03-01 00:00:00.0,2100-01-01
908:WA:SNTL,908,WA,SNTL,Alpine Meadows,OR,King,171100100501.0,3500.0,47.77957,-121.69847,-8.0,,APSW1,1994-09-01 00:00:00.0,2100-01-01
14306500:OR:USGS,14306500,OR,USGS,Alsea nr Tidewater,OR,Lincoln,171002050403.0,48.0,44.38333,-123.81667,,,,1939-10-01 00:00:00.0,2100-01-01
0140:WY:COOP,0140,WY,COOP,Alta 1 NW,MT,Teton,170402040205.0,6430.0,43.78333,-111.03333,,,ALTW4,1909-08-01 00:00:00.0,2100-01-01
11J61:UT:SNOW,11J61,UT,SNOW,Alta Central,UT,Salt Lake,160202040202.0,8800.0,40.59117,-111.63794,,,ATCU1,1984-01-01 00:00:00.0,2100-01-01
1239:CA:SNTLT,1239,CA,SNTLT,Althouse,OR,Del Norte,171003110302.0,4970.0,41.99617,-123.547,-8.0,,ABZO3,2013-06-25 00:00:00.0,2100-01-01
23G17:CA:SNOW,23G17,CA,SNOW,Althouse #3 Rev,OR,Del Norte,171003110302.0,4970.0,41.99617,-123.547,,,,2013-10-01 00:00:00.0,2100-01-01
09013000:CO:USGS,09013000,CO,USGS,Alva B. Adams Tunnel at East Portal,CO,Larimer,101900060203.0,8199.0,40.3278,-105.5774,,,,1946-10-01 00:00:00.0,2100-01-01
1198:NV:SNTLT,1198,NV,SNTLT,American Beauty,UT,Elko,160401030901.0,7545.0,40.53373,-115.45768,-8.0,,AMBN2,2011-12-23 00:00:00.0,2100-01-01
15J17:NV:SNOW,15J17,NV,SNOW,American Beauty - Aerial Marker,UT,Elko,160401030901.0,7545.0,40.53373,-115.45677,,,AMBN2,1964-03-01 00:00:00.0,2100-01-01
13076500:ID:BOR,13076500,ID,BOR,American Falls Reservoir,ID,Power,170402061009.0,4356.0,42.78003,-112.87597,,,,1925-10-01 00:00:00.0,2100-01-01
10164500:UT:USGS,10164500,UT,USGS,American Fk ab Upper Powerplant,UT,Utah,160202010802.0,5950.0,40.44773,-111.68215,,,,1927-01-01 00:00:00.0,2100-01-01
11446500:CA:USGS,11446500,CA,USGS,American R A Fair Oaks CA,UN,Sacramento,180201110201.0,71.53,38.63546,-121.22773,,,,1904-10-01 00:00:00.0,2100-01-01
1144650N:CA:USGS,1144650N,CA,USGS,American R A Fair Oaks Ca NWS,UN,Sacramento,180201110201.0,71.0,38.63333,-121.21666,,,,1904-10-31 00:00:00.0,2100-01-01
12488500:WA:USGS,12488500,WA,USGS,American R nr Nile,OR,Yakima,170300020107.0,2700.0,46.97762,-121.1687,,,,1909-04-25 00:00:00.0,2100-01-01
13190000:ID:BOR,13190000,ID,BOR,Anderson Ranch Reservoir,ID,Elmore,170501130805.0,4196.0,43.35832,-115.44808,,,,1946-01-01 00:00:00.0,2100-01-01
302:OR:SNTL,302,OR,SNTL,Aneroid Lake #2,OR,Wallowa,170601050101.0,7400.0,45.21328,-117.19258,-8.0,,ANRO3,1980-10-01 00:00:00.0,2100-01-01
06401000:SD:BOR,06401000,SD,BOR,Angostura,MT,Fall River,101201060509.0,3180.0,43.34297,-103.43827,,,,1950-10-01 00:00:00.0,2100-01-01
09361500:CO:USGS,09361500,CO,USGS,Animas R at Durango,CO,La Plata,140801040604.0,6502.0,37.27917,-107.88034,,,,1897-10-01 00:00:00.0,2100-01-01
9362500:CO:USGS,9362500,CO,USGS,Animas-La Plata Project Diversion,CO,La Plata,140801040901.0,6460.0,37.25862,-107.87765,,,,2008-04-01 00:00:00.0,2100-01-01
1000:OR:SNTL,1000,OR,SNTL,Annie Springs,OR,Klamath,180102030101.0,6010.0,42.87007,-122.16518,-8.0,31218,ANSO3,2000-09-01 00:00:00.0,2100-01-01
ANR:CA:SNOW,ANR,CA,SNOW,Antelope Ridge,UN,Plumas,180201220206.0,5650.0,40.155,-120.542,,,,1963-02-01 00:00:00.0,2100-01-01
ATS:CA:SNOW,ATS,CA,SNOW,Antelope Springs,UN,Amador,180400120405.0,4350.0,38.503,-120.467,,,,1939-02-01 00:00:00.0,2100-01-01
05L05:CO:SNOW,05L05,CO,SNOW,Antero,CO,Park,101900010204.0,9300.0,38.91667,-105.96667,,,ATRC2,1949-02-01 00:00:00.0,2100-01-01
0263:CO:COOP,0263,CO,COOP,Antero Reservoir,UN,Park,101900010210.0,8920.0,39.0,-105.88333,,,ANTC2,1961-01-01 00:00:00.0,2100-01-01
05L06:CO:SNOW,05L06,CO,SNOW,Antero Reservoir,CO,Park,101900010210.0,9000.0,39.0,-105.88333,,,ANTC2,1983-02-01 00:00:00.0,2100-01-01
06016010:CO:BOR,06016010,CO,BOR,Antero Reservoir,CO,Park,101900010205.0,8950.0,38.99371,-105.89598,,,,1952-09-01 00:00:00.0,2100-01-01
1245:OR:SNTLT,1245,OR,SNTLT,Anthony Lake,OR,Baker,170502030503.0,7160.0,44.9591,-118.22668,-8.0,,ANZO3,2013-07-18 00:00:00.0,2100-01-01
18E31:OR:SNOW,18E31,OR,SNOW,Anthony Lake (Rev),OR,Baker,170502030503.0,7160.0,44.9591,-118.22668,,,,2008-01-01 00:00:00.0,2100-01-01
ATP:CA:SNOW,ATP,CA,SNOW,Anthony Peak,UN,Tehama,180201150301.0,6200.0,39.842,-122.95,,,,1944-02-01 00:00:00.0,2100-01-01
303:CO:SNTL,303,CO,SNTL,Apishapa,CO,Huerfano,110200060406.0,10027.0,37.33067,-105.06766,-8.0,,APSC2,1979-10-01 00:00:00.0,2100-01-01
14361900:OR:BOR,14361900,OR,BOR,Applegate,OR,Jackson,171003090109.0,1763.0,42.0549,-123.11564,,,,1980-10-01 00:00:00.0,2100-01-01
14362000:OR:USGS,14362000,OR,USGS,Applegate Lake Inflow,OR,Jackson,171003090201.0,1748.0,42.06374,-123.11144,,,,1938-10-01 00:00:00.0,2100-01-01
1030:CO:SNTL,1030,CO,SNTL,Arapaho Ridge,CO,Grand,140100010604.0,10976.0,40.35098,-106.38141,-8.0,,ARPC2,2002-08-01 00:00:00.0,2100-01-01
