date,lat,lon,AMSR_SWE,station_name,swe_value,change_in_swe_inch,snow_depth,air_temperature_observed_f,air_temperature_tmmn,potential_evapotranspiration,mean_vapor_pressure_deficit,relative_humidity_rmax,relative_humidity_rmin,precipitation_amount,air_temperature_tmmx,wind_speed,stationTriplet,elevation,Elevation,Slope,Aspect,Curvature,Northness,Eastness,fSCA
2018-01-01,37.52217,-112.27118,,Agua Canyon,0.0,0.0,0.0,36.1,270.5,2.1000001,0.57,100.0,21.7,0.0,262.7,3.1000001,907:UT:SNTL,8900.0,2353.2756,0.34028625,76.58906,-2247.0012,0.22790408,-0.7715764,
2018-01-01,37.724,-119.143,,Agnew Pass,6.9,,,,271.3,1.2,0.53,73.1,22.4,0.0,269.7,2.8,AGP:CA:MSNT,9450.0,3336.7925,0.70900726,55.572987,-4782.235,0.5145563,-0.689709,
2018-01-01,37.724,-119.143,,Agnew Pass,6.9,,,,271.3,1.2,0.53,73.1,22.4,0.0,269.7,2.8,AGP:CA:SNOW,9450.0,3336.7925,0.70900726,55.572987,-4782.235,0.5145563,-0.689709,
2018-01-01,37.724,-119.143,,Agnew Pass,6.9,,,,271.3,0.8,0.53,73.1,22.4,0.0,269.7,2.8,AGP:CA:MSNT,9450.0,3336.7925,0.70900726,55.572987,-4782.235,0.5145563,-0.689709,
2018-01-01,37.724,-119.143,,Agnew Pass,6.9,,,,271.3,0.8,0.53,73.1,22.4,0.0,269.7,2.8,AGP:CA:SNOW,9450.0,3336.7925,0.70900726,55.572987,-4782.235,0.5145563,-0.689709,
2018-01-01,38.805,-120.215,,Alpha,1.0,,,,276.8,0.6,0.81,60.7,19.2,0.0,273.9,1.8000001,ALP:CA:MSNT,7600.0,2009.3964,0.4420395,198.05385,426.61267,-0.7601651,0.30052412,
2018-01-01,41.23583,-120.79192,,Adin Mtn,1.2,0.0,3.0,28.8,273.4,1.6,0.58,74.0,28.300001,0.0,272.5,2.1000001,301:CA:SNTL,6190.0,2001.8408,0.79338074,144.24068,-6279.539,-0.68170124,-0.5288563,
2018-01-01,42.87007,-122.16518,,Annie Springs,9.9,0.0,30.0,31.5,268.8,0.90000004,0.42999998,76.0,29.5,0.0,276.7,2.3,1000:OR:SNTL,6010.0,1864.8491,0.71484375,191.83992,-3315.3516,-0.7746466,0.20236936,
2018-01-01,45.21328,-117.19258,,Aneroid Lake #2,3.9,0.0,15.0,22.6,264.3,1.2,0.35,100.0,23.0,0.0,268.7,2.3,302:OR:SNTL,7400.0,2721.439,0.23004913,199.61195,-11866.799,-0.75553435,0.3238322,
2018-01-01,45.59723,-111.95902,,Albro Lake,12.8,-1.0,42.0,23.0,257.7,4.9,0.16,100.0,43.2,0.0,265.6,2.8,916:MT:SNTL,8300.0,2389.2432,0.24233246,48.42243,-4466.613,0.5858997,-0.64225703,
2018-01-01,47.77957,-121.69847,,Alpine Meadows,15.9,2.0,41.0,30.4,271.4,0.4,0.38,86.1,36.8,0.0,274.0,3.2,908:WA:SNTL,3500.0,505.7591,0.3263855,344.56882,-5300.9595,0.7670448,0.26005524,
2018-01-02,37.52217,-112.27118,,Agua Canyon,0.0,0.0,0.0,35.2,268.2,0.8,0.42999998,100.0,24.9,0.0,271.4,4.2000003,907:UT:SNTL,8900.0,2353.2756,0.34028625,76.58906,-2247.0012,0.22790408,-0.7715764,
2018-01-02,37.724,-119.143,,Agnew Pass,6.9,,,,271.2,2.0,0.39999998,75.5,32.8,0.0,275.9,2.6000001,AGP:CA:MSNT,9450.0,3336.7925,0.70900726,55.572987,-4782.235,0.5145563,-0.689709,
2018-01-02,37.724,-119.143,,Agnew Pass,6.9,,,,271.2,2.0,0.39999998,75.5,32.8,0.0,275.9,2.6000001,AGP:CA:SNOW,9450.0,3336.7925,0.70900726,55.572987,-4782.235,0.5145563,-0.689709,
2018-01-02,37.724,-119.143,,Agnew Pass,6.9,,,,271.2,2.2,0.39999998,75.5,32.8,0.0,275.9,2.6000001,AGP:CA:MSNT,9450.0,3336.7925,0.70900726,55.572987,-4782.235,0.5145563,-0.689709,
2018-01-02,37.724,-119.143,,Agnew Pass,6.9,,,,271.2,2.2,0.39999998,75.5,32.8,0.0,275.9,2.6000001,AGP:CA:SNOW,9450.0,3336.7925,0.70900726,55.572987,-4782.235,0.5145563,-0.689709,
2018-01-02,38.805,-120.215,,Alpha,0.9,,,,277.0,0.8,0.7,69.0,25.1,0.6,280.6,2.0,ALP:CA:MSNT,7600.0,2009.3964,0.4420395,198.05385,426.61267,-0.7601651,0.30052412,
2018-01-02,41.23583,-120.79192,,Adin Mtn,1.3,0.0,3.0,27.7,274.5,2.5,0.52,52.0,32.2,0.0,279.1,3.7,301:CA:SNTL,6190.0,2001.8408,0.79338074,144.24068,-6279.539,-0.68170124,-0.5288563,
2018-01-02,42.87007,-122.16518,,Annie Springs,9.9,0.0,30.0,28.2,269.6,1.6,0.41,73.9,32.4,0.0,279.5,3.5,1000:OR:SNTL,6010.0,1864.8491,0.71484375,191.83992,-3315.3516,-0.7746466,0.20236936,
