stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
2057:AL:SCAN,2057,AL,SCAN,AAMU-JTG,GC,Madison,060300020403,860.0,34.78333,-86.55,-6.0,27979,AAMA1,2002-02-23 00:00,2100-01-01 00:00
ABY:CA:SNOW,ABY,CA,SNOW,Abbey,UN,Plumas,180201220103,5650.0,39.955,-120.538,,,,1963-02-01 00:00,2100-01-01 00:00
0010:ID:COOP,0010,ID,COOP,Aberdeen Experimnt Stn,ID,Bingham,170402060704,4410.0,42.95,-112.83333,,,ABDI1,1914-01-01 00:00,2100-01-01 00:00
1F01A:BC:SNOW,1F01A,BC,SNOW,Aberdeen Lake,OR,UNKNOWN,,4298.0,50.14733,-119.0534,,,ABLQ2,1939-04-01 00:00,2100-01-01 00:00
0041:NM:COOP,0041,NM,COOP,Abiquiu Dam,UN,Rio Arriba,130201021005,6380.0,36.23333,-106.43333,,,ABIN5,1957-01-01 00:00,2100-01-01 00:00
08108010:NM:BOR,08108010,NM,BOR,Abiquiu Reservoir,CO,Rio Arriba,130201021006,6180.0,36.237,-106.42912,,,,1964-09-01 00:00,2100-01-01 00:00
13E19:ID:SNOW,13E19,ID,SNOW,Above Gilmore,ID,Lemhi,170602040101,8289.0,44.45615,-113.30097,,,ABGI1,1961-01-01 00:00,2100-01-01 00:00
15B07:ID:SNOW,15B07,ID,SNOW,Above Roland,ID,Shoshone,170103040201,4347.0,47.38507,-115.66405,,,ABRI1,1926-03-01 00:00,2100-01-01 00:00
2092:KS:SCAN,2092,KS,SCAN,Abrams,GC,Cowley,110300130307,1194.0,37.1313,-97.0859,-6.0,31337,ABRK1,2004-06-21 00:00,2100-01-01 00:00
06110500:MT:BOR,06110500,MT,BOR,Ackley Lake,MT,Judith Basin,100401030202,4300.0,46.95741,-109.94062,,,,1938-06-01 00:00,2100-01-01 00:00
2015:NM:SCAN,2015,NM,SCAN,Adams Ranch #1,GC,Lincoln,130600060201,6175.0,34.25,-105.41667,-7.0,19304,ADRN5,1993-10-25 00:00,2100-01-01 00:00
20H08:CA:SNOW,20H08,CA,SNOW,Adin Mountains,OR,Modoc,180200021403,6190.0,41.23483,-120.79467,,,ADMC1,1930-04-01 00:00,2100-01-01 00:00
301:CA:SNTL,301,CA,SNTL,Adin Mtn,OR,Modoc,180200021403,6190.0,41.23583,-120.79192,-8.0,,ADMC1,1983-10-01 00:00,2100-01-01 00:00
2235:CA:SCAN,2235,CA,SCAN,Adobe,GC,Mono,180901010607,6500.0,37.97787,-118.68626,-8.0,,,2023-09-27 00:00,2100-01-01 00:00
07007010:CO:BOR,07007010,CO,BOR,Adobe Creek Reservoir,CO,Kiowa,110200090303,4150.0,38.26609,-103.24373,,,,1949-11-01 00:00,2100-01-01 00:00
0027:WY:COOP,0027,WY,COOP,Afton,MT,Lincoln,170401050205,6210.0,42.73333,-110.93333,,,AFOW4,1909-10-01 00:00,2100-01-01 00:00
516700:MT:USGS,516700,MT,USGS,Agency Crk ab Jocko S Canal nr Arlee,MT,Missoula,170102120705,3725.0,47.12579,-113.9974,,,,1999-10-01 00:00,2100-01-01 00:00
AGP:CA:MSNT,AGP,CA,MSNT,Agnew Pass,GC,Madera,180400060401,9450.0,37.724,-119.143,,,,1989-11-24 00:00,2100-01-01 00:00
AGP:CA:SNOW,AGP,CA,SNOW,Agnew Pass,UN,Madera,180400060401,9450.0,37.724,-119.143,,,,1930-04-01 00:00,2100-01-01 00:00
907:UT:SNTL,907,UT,SNTL,Agua Canyon,UT,Kane,160300020301,8900.0,37.52217,-112.27118,-8.0,,AGUU1,1994-10-01 00:00,2100-01-01 00:00
12502500:WA:USGS,12502500,WA,USGS,Ahtanum Ck at Union Gap,OR,Yakima,170300030105,940.0,46.53596,-120.4734,,,,1903-10-31 00:00,2100-01-01 00:00
4A30P:BC:MSNT,4A30P,BC,MSNT,Aiken Lake,OR,UNKNOWN,,3481.0,56.43333,-125.73333,,,,1984-10-31 00:00,2100-01-01 00:00
05AD803:AB:MSNT,05AD803,AB,MSNT,Akima Pass #2,MT,UNKNOWN,,5777.0,49.02728,-114.05294,,,,2024-05-16 00:00,2100-01-01 00:00
2237:CA:SCAN,2237,CA,SCAN,Alabama Hills,GC,Inyo,180901030207,5230.0,36.56295,-118.13562,-8.0,,,2023-09-28 00:00,2100-01-01 00:00
08236000:CO:USGS,08236000,CO,USGS,Alamosa Ck ab Terrace Reservoir,CO,Conejos,130100020304,8600.0,37.37473,-106.33476,,,,1914-05-01 00:00,2100-01-01 00:00
0130:CO:COOP,0130,CO,COOP,Alamosa WSO AP,UN,Alamosa,130100020710,7540.0,37.45,-105.86666,,,ALSC2,1948-01-01 00:00,2100-01-01 00:00
06H11:WY:SNOW,06H11,WY,SNOW,Albany,CO,Albany,101800100501,9120.0,41.18333,-106.16667,,,ALSW4,1949-02-01 00:00,2100-01-01 00:00
0088:MT:COOP,0088,MT,COOP,Albion 1 N,MT,Carter,101102010507,3310.0,45.2,-104.28333,,,ALBM8,1945-07-01 00:00,2100-01-01 00:00
916:MT:SNTL,916,MT,SNTL,Albro Lake,MT,Madison,100200050701,8300.0,45.59723,-111.95902,-8.0,,ABRM8,1996-09-01 00:00,2100-01-01 00:00
0234:NM:COOP,0234,NM,COOP,Albuquerque WSFO Airpor,UN,Bernalillo,130202030304,5310.0,35.05,-106.61666,,,ABQN5,1897-01-01 00:00,2100-01-01 00:00
0245:NM:COOP,0245,NM,COOP,Alcalde,UN,Rio Arriba,130201011107,5680.0,36.1,-106.06666,,,ALCN5,1953-01-01 00:00,2100-01-01 00:00
2172:NM:SCAN,2172,NM,SCAN,Alcalde,GC,Rio Arriba,130201011107,5693.0,36.0908,-106.05668,-7.0,53313,ALDN5,2010-03-10 00:00,2100-01-01 00:00
06641500:WY:BOR,06641500,WY,BOR,Alcova,CO,Natrona,101800070201,5447.0,42.54837,-106.7209,,,,1938-02-01 00:00,2100-01-01 00:00
1267:AK:SNTL,1267,AK,SNTL,Alexander Lake,AK,Matanuska-Susitna,190205051106,160.0,61.74967,-150.88967,-9.0,,ALXA2,2014-08-28 00:00,2100-01-01 00:00
50M01:AK:SNOW,50M01,AK,SNOW,Alexander Lake,AK,Matanuska-Susitna,190205051106,160.0,61.74967,-150.88967,,,ALXA2,1965-02-01 00:00,2100-01-01 00:00
2138:UT:SCAN,2138,UT,SCAN,Alkali Mesa,GC,San Juan,140802030601,6445.0,37.67455,-109.36429,-7.0,34635,ALKU1,2007-09-17 00:00,2100-01-01 00:00
2076:TN:SCAN,2076,TN,SCAN,Allen Farms,GC,Giles,060300030905,705.0,35.0747,-86.8938,-6.0,30331,ALFT1,2003-06-03 00:00,2100-01-01 00:00
11G35:ID:SNOW,11G35,ID,SNOW,Allen Ranch,ID,Caribou,170402070208,6496.0,42.78735,-111.43125,,,ALLI1,1961-02-01 00:00,2100-01-01 00:00
14Z03:AB:SNOW,14Z03,AB,SNOW,Allison Pass,MT,UNKNOWN,090400030000,6496.0,49.73333,-114.6,,,,1984-03-01 00:00,2100-01-01 00:00
ALP:CA:MSNT,ALP,CA,MSNT,Alpha,GC,El Dorado,180201290204,7600.0,38.805,-120.215,,,,1965-10-01 00:00,2100-01-01 00:00
APH:CA:SNOW,APH,CA,SNOW,Alpha,UN,El Dorado,180201290302,7600.0,38.804,-120.216,,,,1965-04-01 00:00,2100-01-01 00:00
0159:AZ:COOP,0159,AZ,COOP,Alpine,UN,Apache,150400040301,8050.0,33.85,-109.13333,,,ALPA3,1904-10-01 00:00,2100-01-01 00:00
21B48:WA:SNOW,21B48,WA,SNOW,Alpine Meadow,OR,Snohomish,171100100501,3500.0,47.77997,-121.6989,,,APSW1,1969-03-01 00:00,2100-01-01 00:00
908:WA:SNTL,908,WA,SNTL,Alpine Meadows,OR,King,171100100501,3500.0,47.77957,-121.69847,-8.0,,APSW1,1994-09-01 00:00,2100-01-01 00:00
